Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (win64) Build 3064766 Wed Nov 18 09:12:45 MST 2020
| Date         : Wed Sep  8 11:46:05 2021
| Host         : DESKTOP-CQEKB9O running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -file {F:/MRSA/Hardware/MRSA 16 PEs/ALVEO U280/utilization_report.txt}
| Design       : scrypt_16_romix_ip_v1_0
| Device       : xcu280fsvh2892-2L
| Design State : Synthesized
-------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------+-----------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                  Instance                  |               Module              | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
+--------------------------------------------+-----------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
| scrypt_16_romix_ip_v1_0                    |                             (top) |      72542 |      72510 |      32 |    0 | 81963 |    448 |     16 |    0 |          0 |
|   (scrypt_16_romix_ip_v1_0)                |                             (top) |          0 |          0 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|   scrypt_16_romix_ip_v1_0_S00_AXI_inst     |   scrypt_16_romix_ip_v1_0_S00_AXI |      72542 |      72510 |      32 |    0 | 81963 |    448 |     16 |    0 |          0 |
|     (scrypt_16_romix_ip_v1_0_S00_AXI_inst) |   scrypt_16_romix_ip_v1_0_S00_AXI |        136 |        104 |      32 |    0 |    93 |      0 |      0 |    0 |          0 |
|     top_ip                                 |               scrypt_16_romix_top |      72406 |      72406 |       0 |    0 | 81870 |    448 |     16 |    0 |          0 |
|       (top_ip)                             |               scrypt_16_romix_top |        248 |        248 |       0 |    0 |   354 |      0 |      0 |    0 |          0 |
|       scrypt_16_romix_core                 |                   scrypt_16_romix |      72158 |      72158 |       0 |    0 | 81516 |    448 |     16 |    0 |          0 |
|         (scrypt_16_romix_core)             |                   scrypt_16_romix |         64 |         64 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|         first_counter_ip                   |                  up_counter_4_bit |         17 |         17 |       0 |    0 |     4 |      0 |      0 |    0 |          0 |
|         mux_ixor                           |                           mux16_1 |       1024 |       1024 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|         mux_out_rm_cvt                     |           mux16_1__parameterized0 |       4096 |       4096 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|         mux_oxor                           |                         mux16_1_0 |       1024 |       1024 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|         p1                                 |                          pbkdf2_1 |       2091 |       2091 |       0 |    0 |  3109 |      0 |      0 |    0 |          0 |
|           controller                       |                       pbkdf2_1_ct |        224 |        224 |       0 |    0 |    28 |      0 |      0 |    0 |          0 |
|           datapath                         |                       pbkdf2_1_dp |       1867 |       1867 |       0 |    0 |  3081 |      0 |      0 |    0 |          0 |
|             (datapath)                     |                       pbkdf2_1_dp |          0 |          0 |       0 |    0 |  2048 |      0 |      0 |    0 |          0 |
|             mux_sel_block_in               |                             mux21 |        144 |        144 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|             mux_sel_block_in_i_hash        |                         mux41_259 |        131 |        131 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|             mux_sel_prev_hash              |             mux41__parameterized0 |        256 |        256 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|             sha256_core                    |          sha256_core_standard_260 |       1336 |       1336 |       0 |    0 |  1033 |      0 |      0 |    0 |          0 |
|               controller                   |      sha256_core_standard_fsm_261 |        517 |        517 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               datapath                     | sha256_core_standard_datapath_262 |        850 |        850 |       0 |    0 |  1030 |      0 |      0 |    0 |          0 |
|         p2                                 |                          pbkdf2_2 |       1956 |       1956 |       0 |    0 |  2840 |      0 |      0 |    0 |          0 |
|           controller                       |                       pbkdf2_2_ct |        421 |        421 |       0 |    0 |    15 |      0 |      0 |    0 |          0 |
|           datapath                         |                       pbkdf2_2_dp |       1535 |       1535 |       0 |    0 |  2825 |      0 |      0 |    0 |          0 |
|             (datapath)                     |                       pbkdf2_2_dp |          0 |          0 |       0 |    0 |  1792 |      0 |      0 |    0 |          0 |
|             mux_sel_block_in_i_hash        |                             mux41 |        256 |        256 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|             sha256_core                    |              sha256_core_standard |       1279 |       1279 |       0 |    0 |  1033 |      0 |      0 |    0 |          0 |
|               controller                   |          sha256_core_standard_fsm |        513 |        513 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               datapath                     |     sha256_core_standard_datapath |        797 |        797 |       0 |    0 |  1030 |      0 |      0 |    0 |          0 |
|         rm_0                               |                         romix_new |       3866 |       3866 |       0 |    0 |  4657 |     28 |      1 |    0 |          0 |
|           (rm_0)                           |                         romix_new |          4 |          4 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|           controller                       |                  romix_new_ct_243 |         41 |         41 |       0 |    0 |    10 |      0 |      0 |    0 |          0 |
|           datapath                         |                  romix_new_dp_244 |       3821 |       3821 |       0 |    0 |  4647 |     28 |      1 |    0 |          0 |
|             (datapath)                     |                  romix_new_dp_244 |          0 |          0 |       0 |    0 |   522 |      0 |      0 |    0 |          0 |
|             blockmix                       |                 blockmix_dpct_245 |       2781 |       2781 |       0 |    0 |  4115 |      0 |      0 |    0 |          0 |
|               controller                   |                   blockmix_ct_249 |          2 |          2 |       0 |    0 |    15 |      0 |      0 |    0 |          0 |
|               datapath                     |                   blockmix_dp_250 |       2779 |       2779 |       0 |    0 |  4100 |      0 |      0 |    0 |          0 |
|                 (datapath)                 |                   blockmix_dp_250 |       1536 |       1536 |       0 |    0 |  3584 |      0 |      0 |    0 |          0 |
|                 salsa_20_8                 |                    salsa_20_8_251 |       1243 |       1243 |       0 |    0 |   516 |      0 |      0 |    0 |          0 |
|                   controller               |                 salsa_20_8_ct_252 |         11 |         11 |       0 |    0 |     4 |      0 |      0 |    0 |          0 |
|                   datapath                 |                 salsa_20_8_dp_253 |       1232 |       1232 |       0 |    0 |   512 |      0 |      0 |    0 |          0 |
|                     (datapath)             |                 salsa_20_8_dp_253 |          0 |          0 |       0 |    0 |   512 |      0 |      0 |    0 |          0 |
|                     full_qround_1          |                   full_qround_254 |       1232 |       1232 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                       q_round_1            |        q_round_for_salsa_20_8_255 |        323 |        323 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                       q_round_2            |        q_round_for_salsa_20_8_256 |        303 |        303 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                       q_round_3            |        q_round_for_salsa_20_8_257 |        303 |        303 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|                       q_round_4            |        q_round_for_salsa_20_8_258 |        303 |        303 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|             counter                        |                 up_counter_en_246 |         16 |         16 |       0 |    0 |    10 |      0 |      0 |    0 |          0 |
|             memory                         |                 bram1024_core_247 |          0 |          0 |       0 |    0 |     0 |     28 |      1 |    0 |          0 |
|             mux_1                          |         mux21__parameterized0_248 |       1024 |       1024 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
