System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
11:37:38:821, 3891350267780752,    0.101,   14.000, 3700,  75.419,   7.637,   2.121,  58.704,   5.944,   1.651, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:38:929, 3891350645576763,    0.209,   12.000, 3700,  70.097,  15.198,   4.222,  53.529,  11.719,   3.255, 49,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:39:041, 3891351037430538,    0.321,   12.000, 3700,  74.137,  23.493,   6.526,  57.425,  18.144,   5.040, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:39:147, 3891351408398975,    0.427,   13.000, 3700,  77.428,  31.695,   8.804,  60.702,  24.574,   6.826, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:39:257, 3891351793347387,    0.537,   13.000, 3700,  76.129,  40.063,  11.129,  59.549,  31.119,   8.644, 49,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:39:385, 3891352246880739,    0.666,   20.000, 3700,  78.388,  50.214,  13.948,  61.623,  39.099,  10.861, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:39:476, 3891352562902638,    0.757,   12.000, 3700,  76.108,  57.081,  15.856,  59.445,  44.463,  12.351, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:39:585, 3891352944351169,    0.866,   13.000, 3700,  73.669,  65.105,  18.085,  56.899,  50.661,  14.072, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:39:695, 3891353331122175,    0.976,   12.000, 3700,  70.678,  72.911,  20.253,  54.045,  56.629,  15.730, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:39:803, 3891353707081913,    1.083,   11.000, 3700,  71.057,  80.539,  22.372,  54.425,  62.472,  17.353, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:39:913, 3891354091990071,    1.193,   13.000, 3700,  74.426,  88.719,  24.644,  57.680,  68.811,  19.114, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:40:021, 3891354469943014,    1.301,   12.000, 3700,  72.513,  96.544,  26.818,  55.948,  74.849,  20.791, 51,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:40:135, 3891354868909247,    1.415,   13.000, 3800,  70.292, 104.552,  29.042,  53.592,  80.954,  22.487, 51,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:40:243, 3891355246854304,    1.523,   12.000, 3700,  71.626, 112.281,  31.189,  54.918,  86.881,  24.134, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:40:350, 3891355621093674,    1.630,   11.000, 3700,  68.738, 119.627,  33.230,  52.182,  92.457,  25.682, 51,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:40:462, 3891356016483185,    1.743,   13.000, 3700,  72.788, 127.844,  35.512,  56.055,  98.785,  27.440, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:40:572, 3891356401294972,    1.853,   20.000, 3700,  77.550, 136.365,  37.879,  60.790, 105.465,  29.296, 48,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:40:681, 3891356785052498,    1.962,   28.000, 3700,  84.395, 145.613,  40.448,  67.770, 112.891,  31.359, 47,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:40:789, 3891357162466256,    2.070,   24.000, 3700,  81.104, 154.353,  42.876,  64.522, 119.844,  33.290, 49,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:40:896, 3891357535127700,    2.176,   17.000, 3700,  75.095, 162.344,  45.095,  58.183, 126.035,  35.010, 49,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:41:010, 3891357933762900,    2.290,   21.000, 3700,  83.725, 171.874,  47.743,  66.974, 133.658,  37.127, 52,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:41:115, 3891358301226329,    2.395,   18.000, 3800,  80.825, 180.354,  50.098,  63.964, 140.370,  38.992, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:41:225, 3891358686089961,    2.505,   12.000, 3700,  71.363, 188.196,  52.277,  54.789, 146.391,  40.664, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:41:335, 3891359070933940,    2.615,   11.000, 3700,  70.497, 195.943,  54.429,  53.789, 152.301,  42.306, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:41:446, 3891359464705024,    2.727,   13.000, 3700,  72.046, 204.044,  56.679,  55.404, 158.531,  44.036, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:41:556, 3891359847909657,    2.837,   11.000, 3800,  70.241, 211.729,  58.814,  53.474, 164.382,  45.662, 51,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:41:666, 3891360232555392,    2.947,   12.000, 3800,  70.763, 219.501,  60.973,  54.174, 170.332,  47.314, 51,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:41:775, 3891360615726837,    3.056,   11.000, 3700,  68.999, 227.050,  63.070,  52.373, 176.062,  48.906, 51,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:41:884, 3891360995316401,    3.164,   13.000, 3700,  72.170, 234.873,  65.242,  55.366, 182.063,  50.573, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:41:990, 3891361368291240,    3.271,   13.000, 3700,  74.757, 242.834,  67.454,  58.095, 188.250,  52.292, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:42:101, 3891361756566071,    3.382,   13.000, 3700,  71.358, 250.745,  69.651,  54.790, 194.324,  53.979, 51,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:42:209, 3891362132395573,    3.489,   12.000, 3700,  70.948, 258.359,  71.766,  54.293, 200.150,  55.597, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:42:319, 3891362517254568,    3.599,   12.000, 3700,  71.992, 266.270,  73.964,  55.293, 206.226,  57.285, 51,  0,1000.000,1000.000,1023.875,   0.000,   0.000
11:37:42:431, 3891362909313074,    3.711,   14.000, 3800,  73.217, 274.467,  76.241,  56.512, 212.553,  59.042, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
