System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
12:06:27:584, 3897404725690190,    0.098,   18.000, 3700,  79.267,   7.751,   2.153,  62.505,   6.112,   1.698, 49,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:27:696, 3897405117536004,    0.210,   13.000, 3700,  75.051,  16.148,   4.486,  58.310,  12.636,   3.510, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:27:806, 3897405505798459,    0.321,   13.000, 3700,  75.250,  24.491,   6.803,  58.681,  19.141,   5.317, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:27:915, 3897405885606405,    0.429,   37.000, 3700,  85.798,  33.795,   9.388,  68.763,  26.599,   7.389, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:28:022, 3897406259654586,    0.536,   23.000, 3700,  85.086,  42.883,  11.912,  67.800,  33.840,   9.400, 52,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:28:131, 3897406641198830,    0.645,   14.000, 3700,  77.116,  51.284,  14.246,  60.364,  40.416,  11.227, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:28:243, 3897407038726532,    0.758,   13.000, 3700,  72.045,  59.462,  16.517,  55.411,  46.706,  12.974, 51,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:28:350, 3897407411005140,    0.865,   12.000, 3700,  71.048,  67.014,  18.615,  54.399,  52.488,  14.580, 53,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:28:458, 3897407788635684,    0.972,   14.000, 3700,  75.343,  75.138,  20.872,  58.601,  58.807,  16.335, 49,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:28:568, 3897408175773882,    1.083,   22.000, 3700,  79.372,  83.912,  23.309,  62.715,  65.740,  18.261, 48,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:28:677, 3897408554955835,    1.191,   28.000, 3700,  86.222,  93.247,  25.902,  69.508,  73.265,  20.351, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:28:791, 3897408954021708,    1.305,   25.000, 3700,  81.453, 102.529,  28.480,  64.740,  80.642,  22.401, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:28:900, 3897409335195264,    1.414,   12.000, 3700,  69.563, 110.100,  30.583,  52.997,  86.410,  24.003, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:29:006, 3897409706358443,    1.520,   11.000, 3800,  68.643, 117.375,  32.604,  51.968,  91.918,  25.533, 51,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:29:115, 3897410087444137,    1.629,   13.000, 3700,  70.526, 125.049,  34.736,  53.777,  97.770,  27.158, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:29:227, 3897410480716214,    1.741,   13.000, 3700,  74.083, 133.368,  37.047,  57.431, 104.219,  28.950, 49,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:29:334, 3897410857254008,    1.849,   15.000, 3700,  76.565, 141.600,  39.333,  59.902, 110.659,  30.739, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:29:445, 3897411245555285,    1.959,   14.000, 3700,  77.128, 150.151,  41.709,  60.387, 117.355,  32.598, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:29:556, 3897411636131930,    2.071,   14.000, 3800,  71.410, 158.115,  43.921,  54.804, 123.467,  34.296, 50,  0,1000.000,1000.000,1023.875,   0.000,   0.000
12:06:29:666, 3897412017836949,    2.180,   12.000, 3800,  70.243, 165.771,  46.047,  53.546, 129.302,  35.917, 51,  0,1000.000,1000.000,1023.875,   0.000,   0.000
